Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests
ID09213,2,1,0,2,Meal Plan 1,0,Room_Type 1,12,2018,10,21,Online,0,0,0,180.0,1
ID28328,2,1,1,4,Meal Plan 2,0,Room_Type 1,197,2018,12,21,Offline,0,0,0,137.0,0
ID34346,2,0,0,2,Meal Plan 1,0,Room_Type 1,56,2018,7,27,Online,0,0,0,135.9,0
ID19202,2,0,1,3,Meal Plan 1,0,Room_Type 1,250,2018,9,26,Offline,0,0,0,95.0,0
ID08963,2,0,0,2,Meal Plan 1,0,Room_Type 4,38,2018,2,5,Online,0,0,0,87.3,1
ID15966,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2017,8,13,Online,0,0,0,90.0,2
ID24031,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,90.67,1
ID31863,2,0,1,2,Not Selected,0,Room_Type 1,12,2018,4,29,Online,0,0,0,122.33,0
ID33436,2,0,1,1,Meal Plan 1,0,Room_Type 1,135,2018,11,5,Online,0,0,0,90.0,2
ID12367,1,0,2,1,Meal Plan 1,0,Room_Type 1,116,2018,2,28,Offline,0,0,0,61.0,0
ID12894,1,0,1,0,Meal Plan 1,0,Room_Type 1,13,2017,11,15,Corporate,0,0,0,65.0,0
ID33221,2,0,2,3,Meal Plan 1,0,Room_Type 4,224,2018,9,3,Online,0,0,0,109.31,1
ID19201,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Offline,0,0,0,60.0,0
ID20903,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0
ID22980,1,0,0,1,Meal Plan 1,0,Room_Type 5,6,2018,5,26,Online,0,0,0,197.0,2
ID26863,2,0,0,1,Meal Plan 1,0,Room_Type 4,85,2018,6,2,Online,0,0,0,140.4,0
ID27044,3,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,12,7,Online,0,0,0,83.2,1
ID02108,2,1,1,2,Meal Plan 1,0,Room_Type 6,64,2018,11,18,Online,0,0,0,162.4,1
ID34145,2,0,2,2,Meal Plan 1,0,Room_Type 1,224,2018,9,4,Online,0,0,0,97.96,1
ID09698,2,0,1,3,Meal Plan 1,0,Room_Type 1,322,2018,5,19,Offline,0,0,0,80.0,0
ID12906,2,0,0,3,Not Selected,0,Room_Type 1,24,2018,8,31,Online,0,0,0,110.0,0
ID03521,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,2018,8,15,Online,0,0,0,90.95,1
ID05545,1,1,2,1,Not Selected,0,Room_Type 1,8,2018,10,29,Online,0,0,0,92.66,1
ID17243,1,0,2,1,Meal Plan 1,0,Room_Type 1,16,2018,10,2,Corporate,0,0,0,95.0,0
ID27241,1,0,0,1,Meal Plan 1,0,Room_Type 1,16,2018,6,16,Corporate,0,0,0,95.0,0
ID16038,2,0,0,1,Meal Plan 1,0,Room_Type 1,26,2018,10,29,Online,0,0,0,130.0,1
ID21410,2,0,2,2,Meal Plan 1,0,Room_Type 1,27,2018,5,22,Online,0,0,0,90.84,2
ID10390,2,0,1,1,Meal Plan 1,0,Room_Type 4,44,2018,6,18,Offline,0,0,0,96.3,0
ID01857,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Online,0,0,0,120.0,0
ID14477,1,0,2,0,Not Selected,0,Room_Type 1,9,2018,10,30,Online,0,0,0,80.47,1
ID33598,2,0,1,2,Meal Plan 1,0,Room_Type 1,233,2018,10,14,Offline,0,0,0,90.0,0
ID30747,2,0,1,4,Meal Plan 1,0,Room_Type 1,107,2018,7,13,Online,0,0,0,105.3,0
ID14168,2,0,1,2,Meal Plan 1,0,Room_Type 1,9,2018,2,5,Offline,0,0,0,66.0,0
ID17960,1,0,1,0,Meal Plan 1,0,Room_Type 1,24,2018,9,26,Offline,0,0,0,85.5,0
ID16210,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,2,19,Corporate,0,0,0,81.0,0
ID22379,2,0,0,3,Meal Plan 2,1,Room_Type 1,138,2018,7,12,Online,0,0,0,148.5,1
ID03816,2,1,1,2,Meal Plan 1,0,Room_Type 1,40,2018,6,27,Online,0,0,0,128.1,0
ID05111,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0
ID33615,1,0,0,3,Meal Plan 1,0,Room_Type 1,1,2017,9,9,Corporate,0,0,0,90.0,0
ID08628,3,0,1,4,Meal Plan 1,0,Room_Type 1,184,2018,7,11,Offline,0,0,0,96.9,1
ID06471,2,0,0,1,Meal Plan 1,0,Room_Type 1,22,2018,8,31,Online,0,0,0,122.0,3
ID16814,2,0,2,0,Meal Plan 1,0,Room_Type 1,5,2017,9,20,Corporate,1,1,0,100.0,0
ID29063,2,0,0,2,Meal Plan 2,0,Room_Type 4,40,2018,6,9,Online,0,0,0,165.6,0
ID07823,2,0,2,0,Meal Plan 1,0,Room_Type 1,67,2018,3,13,Online,0,0,0,78.3,0
ID20585,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73.0,0
ID32082,2,0,2,3,Meal Plan 1,0,Room_Type 1,26,2018,7,3,Offline,0,0,0,85.0,0
ID32390,1,1,2,0,Meal Plan 1,0,Room_Type 1,0,2017,10,11,Online,0,0,0,9.0,0
ID12015,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,80.0,0
ID22434,2,0,2,3,Not Selected,0,Room_Type 1,92,2018,8,28,Offline,0,0,0,63.75,0
ID21763,1,0,0,2,Meal Plan 1,0,Room_Type 4,53,2018,6,17,Online,0,0,0,140.4,0
ID10955,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,109.0,0
ID34771,2,0,1,3,Meal Plan 1,0,Room_Type 1,51,2017,10,12,Online,0,0,0,69.11,0
ID15062,2,0,2,5,Meal Plan 1,0,Room_Type 2,69,2017,12,29,Online,0,0,0,92.43,0
ID25488,1,0,0,1,Meal Plan 1,0,Room_Type 1,17,2017,10,30,Offline,0,0,0,95.0,0
ID12441,2,0,1,1,Meal Plan 1,0,Room_Type 1,33,2018,1,25,Corporate,0,0,0,62.0,0
ID19587,1,0,0,2,Meal Plan 1,0,Room_Type 1,64,2018,5,17,Corporate,0,0,0,130.0,0
ID29599,2,2,2,3,Meal Plan 1,0,Room_Type 6,37,2018,6,10,Online,0,0,0,211.5,0
ID13816,2,0,1,2,Meal Plan 1,0,Room_Type 1,66,2017,10,9,Offline,0,0,0,75.0,0
ID10371,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,6,2,Offline,0,0,0,140.0,0
ID00496,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Online,0,0,0,60.0,0
ID31866,1,0,1,2,Meal Plan 1,0,Room_Type 1,180,2018,10,10,Offline,0,0,0,120.0,0
ID22241,2,0,2,3,Meal Plan 1,0,Room_Type 1,9,2018,10,27,Online,0,0,0,140.0,1
ID11165,2,0,2,1,Not Selected,0,Room_Type 1,89,2018,4,9,Online,0,0,0,79.5,1
ID33063,2,0,0,4,Meal Plan 1,0,Room_Type 5,49,2018,3,29,Online,0,0,0,86.28,0
ID18468,1,0,3,7,Meal Plan 1,0,Room_Type 1,10,2018,12,2,Online,0,0,0,76.59,0
ID11819,2,0,2,2,Meal Plan 1,0,Room_Type 4,71,2018,5,13,Online,0,0,0,137.1,1
ID31660,2,0,0,3,Meal Plan 2,0,Room_Type 1,36,2017,10,13,Offline,0,0,0,112.0,0
ID32292,2,0,1,3,Meal Plan 1,0,Room_Type 4,83,2018,10,10,Online,0,0,0,132.3,0
ID03020,2,0,0,2,Meal Plan 1,0,Room_Type 1,29,2018,2,12,Online,0,0,0,86.45,1
ID05735,1,0,0,2,Meal Plan 1,0,Room_Type 1,37,2018,9,8,Offline,0,0,0,90.0,0
ID06895,2,0,1,4,Meal Plan 1,0,Room_Type 1,83,2018,7,25,Online,0,0,0,79.56,0
ID00373,4,0,0,3,Meal Plan 1,0,Room_Type 7,86,2018,10,20,Online,0,0,0,192.86,1
ID34851,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110.0,0
ID17792,2,0,0,2,Meal Plan 1,0,Room_Type 1,141,2018,9,23,Online,0,0,0,128.8,1
ID08184,2,0,0,2,Meal Plan 1,0,Room_Type 1,88,2018,10,7,Corporate,0,0,0,90.0,1
ID33106,1,0,0,2,Meal Plan 1,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,87.5,0
ID22731,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2018,5,27,Offline,0,0,0,62.5,0
ID19702,2,0,1,1,Meal Plan 1,0,Room_Type 1,159,2018,4,9,Offline,0,0,0,70.0,1
ID04279,2,0,2,2,Meal Plan 1,0,Room_Type 4,50,2018,3,11,Online,0,0,0,82.45,0
ID02381,2,0,1,2,Not Selected,0,Room_Type 1,13,2018,10,17,Online,0,0,0,140.0,2
ID15783,2,0,1,0,Meal Plan 1,1,Room_Type 1,65,2018,12,18,Corporate,1,0,5,87.0,0
ID12549,1,0,1,0,Meal Plan 1,0,Room_Type 1,13,2018,12,5,Online,0,0,0,96.0,0
ID12437,2,0,2,5,Meal Plan 1,0,Room_Type 4,9,2018,7,14,Online,0,0,0,160.29,1
ID00435,2,0,0,2,Meal Plan 1,0,Room_Type 1,15,2018,2,16,Online,0,0,0,91.0,1
ID17978,1,0,0,1,Not Selected,0,Room_Type 1,7,2018,9,20,Online,0,0,0,129.0,1
ID10075,2,0,3,5,Meal Plan 1,0,Room_Type 1,213,2018,9,19,Online,0,0,0,119.85,0
ID21520,2,0,0,4,Meal Plan 1,0,Room_Type 1,270,2018,4,20,Offline,0,0,0,80.0,0
ID05969,2,0,1,1,Meal Plan 1,0,Room_Type 1,155,2018,7,25,Online,0,0,0,105.3,0
ID23218,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120.0,0
ID05616,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,0,0,0,130.0,0
ID14178,2,0,2,6,Meal Plan 1,0,Room_Type 1,4,2017,9,8,Online,0,0,0,132.13,0
ID06798,2,0,2,1,Meal Plan 1,0,Room_Type 4,29,2017,11,14,Offline,0,0,0,46.67,0
ID17680,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,11,26,Corporate,0,0,0,79.0,0
ID15525,2,0,1,0,Meal Plan 1,0,Room_Type 1,44,2018,6,19,Online,0,0,0,99.1,1
ID12504,2,0,1,3,Meal Plan 1,0,Room_Type 4,182,2018,10,6,Online,0,0,0,122.4,1
ID01631,2,0,1,2,Meal Plan 1,0,Room_Type 1,1,2018,6,17,Offline,0,0,0,75.0,1
ID30361,2,0,0,2,Meal Plan 1,0,Room_Type 1,27,2017,9,30,Offline,0,0,0,108.0,0
ID25625,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120.0,0
ID16179,2,0,1,2,Meal Plan 1,0,Room_Type 1,267,2018,9,30,Offline,0,0,0,95.0,0
ID10166,2,0,2,1,Meal Plan 1,0,Room_Type 1,205,2018,5,29,Offline,0,0,0,90.0,0
ID12713,2,0,0,2,Meal Plan 1,0,Room_Type 1,225,2018,8,12,Online,0,0,0,96.3,0
ID15091,2,0,1,3,Meal Plan 1,0,Room_Type 1,109,2018,5,23,Offline,0,0,0,75.0,0
ID26084,2,0,2,4,Meal Plan 1,0,Room_Type 4,11,2018,4,6,Online,0,0,0,130.33,0
ID05924,2,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,9,21,Offline,0,0,0,101.52,0
ID00155,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104.0,0
ID30217,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,7,Corporate,1,0,2,65.0,1
ID33336,2,0,0,3,Meal Plan 1,0,Room_Type 1,117,2018,7,12,Offline,0,0,0,72.25,0
ID33770,2,0,0,2,Meal Plan 1,0,Room_Type 6,2,2018,11,25,Offline,0,0,0,144.8,0
ID11241,2,0,0,3,Meal Plan 2,0,Room_Type 1,203,2018,12,8,Online,0,0,0,112.5,0
ID00588,2,0,2,2,Meal Plan 1,1,Room_Type 1,61,2018,9,2,Online,0,0,0,118.8,1
ID35647,2,1,1,2,Meal Plan 1,0,Room_Type 1,4,2018,3,21,Online,0,0,0,128.0,1
ID21413,2,0,2,2,Meal Plan 1,0,Room_Type 1,9,2018,5,7,Online,0,0,0,91.25,2
ID17163,2,0,0,1,Meal Plan 1,0,Room_Type 1,39,2017,10,23,Online,0,0,0,96.3,2
ID33568,2,1,2,5,Meal Plan 1,0,Room_Type 1,75,2018,7,23,Online,0,0,0,123.3,0
ID34097,1,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,87.0,0
ID25806,2,0,0,2,Not Selected,0,Room_Type 1,129,2018,5,12,Online,0,0,0,94.5,1
ID03927,1,0,1,2,Meal Plan 1,0,Room_Type 1,31,2018,9,16,Offline,0,0,0,70.0,0
ID24665,3,0,1,5,Meal Plan 1,0,Room_Type 4,151,2018,7,5,Online,0,0,0,137.13,1
ID04731,2,0,2,2,Meal Plan 1,0,Room_Type 4,71,2018,10,7,Online,0,0,0,101.87,0
ID22613,3,0,0,3,Meal Plan 1,0,Room_Type 4,7,2018,3,2,Online,0,0,0,133.0,0
ID34742,2,0,1,4,Meal Plan 1,1,Room_Type 1,0,2018,3,28,Online,0,0,0,114.0,0
ID24871,2,0,2,2,Meal Plan 1,0,Room_Type 1,5,2018,11,6,Online,0,0,0,165.75,1
ID03594,2,0,1,2,Meal Plan 1,0,Room_Type 1,3,2017,10,2,Offline,0,0,0,65.0,0
ID06710,2,0,1,2,Meal Plan 1,0,Room_Type 4,63,2017,11,23,Offline,0,0,0,60.0,0
ID29271,2,0,1,3,Meal Plan 1,0,Room_Type 4,45,2017,10,22,Online,0,0,0,78.54,1
ID23185,2,0,0,2,Meal Plan 1,0,Room_Type 4,81,2018,8,5,Online,0,0,0,131.4,0
ID09697,2,0,2,2,Meal Plan 1,1,Room_Type 1,90,2018,4,9,Online,0,0,0,95.7,1
ID24447,1,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Offline,0,0,0,90.0,0
ID14184,2,0,1,2,Meal Plan 1,0,Room_Type 1,78,2018,3,25,Offline,0,0,0,100.0,0
ID30087,1,0,0,1,Meal Plan 1,0,Room_Type 4,17,2018,3,9,Corporate,0,0,0,75.0,0
ID18589,2,0,0,3,Meal Plan 1,0,Room_Type 1,433,2018,9,8,Offline,0,0,0,70.0,0
ID15408,2,0,2,5,Not Selected,0,Room_Type 1,125,2018,7,10,Offline,0,0,0,63.75,2
ID01516,2,0,1,2,Not Selected,0,Room_Type 1,54,2018,11,11,Online,0,0,0,79.2,2
ID26836,2,0,0,2,Meal Plan 1,0,Room_Type 4,37,2017,10,22,Online,0,0,0,105.3,2
ID05286,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,Online,0,0,0,109.0,0
ID25218,2,0,2,0,Meal Plan 2,0,Room_Type 1,275,2018,4,17,Offline,0,0,0,110.0,0
ID18453,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,2018,10,12,Offline,0,0,0,110.0,0
ID24094,2,0,0,4,Meal Plan 1,0,Room_Type 4,190,2018,6,8,Online,0,0,0,90.65,2
ID00451,2,0,2,1,Not Selected,0,Room_Type 1,24,2018,10,16,Online,0,0,0,107.1,1
ID03212,1,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,80.0,0
ID02051,1,0,3,5,Meal Plan 1,0,Room_Type 1,10,2018,5,29,Corporate,0,0,0,110.0,0
ID32957,2,1,2,5,Meal Plan 1,0,Room_Type 1,147,2018,6,28,Online,0,0,0,106.25,2
ID01507,2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,6,14,Online,0,0,0,91.0,1
ID32042,2,0,1,0,Not Selected,0,Room_Type 1,50,2018,2,29,Online,0,0,0,76.5,0
ID32002,3,0,1,2,Meal Plan 1,0,Room_Type 4,79,2018,12,9,Online,0,0,0,126.0,2
ID07089,2,1,0,3,Meal Plan 1,0,Room_Type 1,203,2018,8,17,Online,0,0,0,87.99,0
ID31893,2,0,2,4,Meal Plan 1,0,Room_Type 4,156,2018,6,5,Online,0,0,0,116.82,1
ID25326,2,0,0,3,Meal Plan 1,0,Room_Type 4,22,2017,10,13,Offline,0,0,0,75.0,0
ID16067,1,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,1,18,Offline,0,0,0,64.5,0
ID24463,2,0,0,3,Meal Plan 1,0,Room_Type 1,3,2018,12,6,Online,0,0,0,81.88,0
ID02046,1,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,90.0,0
ID33092,2,0,1,4,Meal Plan 1,0,Room_Type 1,154,2018,9,12,Offline,0,0,0,80.75,0
ID13063,2,1,2,2,Meal Plan 1,0,Room_Type 1,16,2017,12,4,Offline,0,0,0,92.85,0
ID23361,2,0,0,2,Meal Plan 1,0,Room_Type 4,20,2018,1,29,Online,0,0,0,77.6,0
ID21034,2,0,2,3,Meal Plan 1,0,Room_Type 1,93,2018,3,17,Online,0,0,0,73.95,1
ID15874,2,0,2,0,Meal Plan 1,0,Room_Type 1,15,2018,9,11,Online,0,0,0,109.0,1
ID23875,2,0,1,1,Meal Plan 1,0,Room_Type 1,61,2018,4,30,Offline,0,0,0,89.75,1
ID19213,2,1,1,3,Meal Plan 1,0,Room_Type 1,172,2018,8,1,Online,0,0,0,114.75,2
ID07849,2,0,0,2,Meal Plan 1,0,Room_Type 2,38,2018,3,4,Offline,0,0,0,73.1,0
ID23795,1,0,1,0,Meal Plan 1,0,Room_Type 1,11,2018,4,17,Online,0,0,0,95.0,0
ID16528,2,0,0,2,Meal Plan 1,0,Room_Type 1,70,2018,6,3,Offline,0,0,0,100.0,0
ID06120,2,0,0,3,Meal Plan 1,0,Room_Type 1,274,2018,8,9,Online,0,0,0,107.0,2
ID35563,2,0,1,2,Meal Plan 1,0,Room_Type 1,256,2017,9,14,Offline,0,0,0,76.67,0
ID26459,2,0,1,2,Not Selected,1,Room_Type 1,12,2018,8,1,Online,0,0,0,128.0,2
ID12253,1,0,0,1,Meal Plan 1,1,Room_Type 1,12,2018,10,12,Corporate,1,0,2,67.0,0
ID10448,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,2018,8,12,Online,0,0,0,117.9,1
ID10372,2,0,1,0,Meal Plan 1,0,Room_Type 1,258,2018,10,16,Offline,0,0,0,110.0,0
ID12554,1,0,4,6,Meal Plan 1,0,Room_Type 4,3,2018,5,1,Aviation,0,0,0,110.0,0
ID23943,1,0,1,4,Meal Plan 1,0,Room_Type 1,190,2018,6,22,Offline,0,0,0,95.0,0
ID16754,2,0,1,2,Not Selected,0,Room_Type 1,46,2018,3,11,Online,0,0,0,54.75,1
ID16141,2,0,2,4,Not Selected,0,Room_Type 1,1,2018,2,11,Online,0,0,0,79.0,0
ID09603,1,0,1,1,Meal Plan 1,0,Room_Type 4,38,2018,2,22,Online,0,0,0,91.9,1
ID32492,1,0,0,2,Meal Plan 1,0,Room_Type 1,68,2017,9,29,Online,0,0,0,0.0,0
ID27757,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120.0,0
ID24770,2,0,2,3,Meal Plan 1,0,Room_Type 4,83,2018,10,21,Online,0,0,0,126.72,2
ID18439,2,1,0,2,Meal Plan 1,0,Room_Type 6,2,2018,11,25,Offline,0,0,0,144.8,0
ID14125,2,0,0,3,Not Selected,0,Room_Type 1,29,2018,1,26,Online,0,0,0,72.0,1
ID17553,2,0,3,5,Meal Plan 1,0,Room_Type 4,5,2018,4,4,Online,0,0,0,126.75,0
ID07827,2,0,0,2,Meal Plan 1,0,Room_Type 1,70,2018,6,3,Offline,0,0,0,100.0,0
ID05925,3,0,0,2,Meal Plan 1,0,Room_Type 4,44,2018,7,1,Online,0,0,0,150.3,0
ID28684,3,0,0,2,Not Selected,0,Room_Type 1,25,2018,4,12,Online,0,0,0,103.95,2
ID29471,2,2,0,2,Meal Plan 1,0,Room_Type 6,2,2018,7,29,Online,0,0,0,220.0,2
ID12701,2,0,2,2,Meal Plan 1,0,Room_Type 4,32,2018,9,10,Online,0,0,0,149.4,2
ID18672,1,0,0,4,Not Selected,0,Room_Type 1,37,2018,7,20,Online,0,0,0,131.03,1
ID22691,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,6,11,Online,0,0,0,108.57,0
ID09087,1,0,1,0,Meal Plan 1,0,Room_Type 1,35,2018,9,26,Offline,0,0,0,99.0,0
ID24961,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,110.0,0
ID29522,2,0,1,0,Not Selected,0,Room_Type 1,76,2018,5,22,Online,0,0,0,116.1,0
ID08804,2,0,2,3,Not Selected,0,Room_Type 1,90,2018,12,24,Online,0,0,0,74.8,1
ID11431,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,81.0,0
ID09360,1,0,1,0,Meal Plan 1,0,Room_Type 1,7,2018,5,16,Online,0,0,0,97.0,1
ID22461,1,0,0,1,Meal Plan 1,0,Room_Type 1,9,2018,3,2,Offline,0,0,0,69.0,0
ID06274,2,0,2,2,Meal Plan 1,0,Room_Type 4,242,2018,9,10,Online,0,0,0,108.8,0
ID22727,1,0,0,2,Meal Plan 1,1,Room_Type 1,2,2018,3,16,Aviation,1,0,1,88.0,0
ID30511,2,0,2,4,Meal Plan 1,0,Room_Type 1,5,2017,9,10,Online,0,0,0,134.83,0
ID27225,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120.0,0
ID05831,2,0,0,3,Meal Plan 1,0,Room_Type 4,13,2017,10,6,Offline,0,0,0,75.0,1
ID08282,2,0,2,4,Meal Plan 1,0,Room_Type 4,82,2018,4,16,Online,0,0,0,109.37,0
ID18361,2,0,1,2,Meal Plan 1,0,Room_Type 1,88,2018,4,4,Online,0,0,0,90.3,1
ID23050,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,22,Offline,1,0,4,45.0,1
ID07285,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0
ID23449,2,0,0,4,Meal Plan 1,0,Room_Type 1,30,2018,8,30,Online,0,0,0,84.55,2
ID16001,1,0,1,2,Meal Plan 1,0,Room_Type 1,10,2018,2,19,Offline,0,0,0,69.0,0
ID21001,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Offline,0,0,0,130.0,0
ID35592,2,0,0,2,Meal Plan 1,0,Room_Type 1,28,2017,9,30,Online,0,0,0,105.0,1
ID26638,2,2,0,3,Meal Plan 1,0,Room_Type 6,101,2018,6,28,Online,0,0,0,186.3,0
ID30152,2,3,0,3,Meal Plan 1,0,Room_Type 7,145,2018,8,4,Online,0,0,0,269.3,1
ID26175,1,0,0,1,Meal Plan 1,1,Room_Type 1,0,2018,11,16,Offline,0,0,0,89.75,0
ID12282,2,0,1,1,Meal Plan 1,0,Room_Type 1,3,2018,8,22,Corporate,0,0,0,100.0,0
ID28610,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115.0,1
ID10976,1,0,0,4,Meal Plan 1,0,Room_Type 1,8,2018,11,16,Online,0,0,0,80.75,2
ID13199,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Offline,0,0,0,120.0,0
ID21465,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Offline,0,0,0,89.0,0
ID26632,3,0,2,5,Meal Plan 1,1,Room_Type 4,106,2018,12,21,Online,0,0,0,128.0,2
